position,docid,date,court,title
702,69624144,2017-07-21,Supreme Court of India,"Ms. Eera Through Dr. Manjula ... vs State (Govt. Of Nct Of Delhi) on <b>21</b> July, 2017"
703,971635,1980-12-05,Supreme Court of India,"Malak Singh Etc vs State Of Punjab & Haryana & Ors on 5 December, 1980"
704,921501,2004-12-06,Bombay High Court,"Sahyadri Punarvasan Gaothan Vikas ... vs Pandharpur Municipal Council on 6 December, 2004"
705,35272859,2022-02-14,Karnataka High Court,"Galactus Funware Technology Private ... vs State Of Karnatka on 14 February, 2022"
706,124114412,1980-12-05,Supreme Court of India,"Malak Singh And Ors. vs State Of P & H And Ors. on 5 December, 1980"
707,149696764,2017-10-09,Madhya Pradesh High Court,"Democratic Lawyers Forum (Group Of ... vs Union Of India on 9 October, 2017"
708,158946068,2020-11-11,Allahabad High Court,"Salamat Ansari And 3 Others vs State Of U.P. And 3 Others on 11 November, 2020"
709,1833381,2000-04-11,Bombay High Court,"Gramvikas Shikshan Prasarak Mandal, ... vs The State Of Maharashtra & Others on 11 April, 2000"
710,261579,2000-04-20,Madras High Court,"Tamil Nadu Tamil & English Schools ... vs The State Of Tamil Nadu Rep. By Its ... on 20 April, 2000"
711,522775,1991-03-20,Gauhati High Court,"Peoples Union For Human <b>Rights</b> ... vs Union Of India (Uoi) And Ors. on 20 March, 1991"
712,175295380,2008-03-28,Calcutta High Court (Appellete Side),"Pritam Rooj vs The University Of Calcutta & Others on 28 March, 2008"
713,160547308,2008-04-17,Madras High Court,"R. Anbazhagan Deputy Manager ... vs The State Information Commission, The ... on 17 April, 2008"
714,66070774,1994-04-26,Supreme Court of India,"P. Rathinam/Nagbhusan Patnaik vs Union Of India And Another on 26 April, 1994"
715,22804302,2017-03-02,Bombay High Court,"Dagdu Sagu Pawagi (Decd) By Lrs, Laxman ... vs State Of Maharashtra And Ors on 2 March, 2017"
716,180524589,2019-05-29,Allahabad High Court,"Shiv Narayan And 4 Others vs State Of U.P. And 3 Others on 29 May, 2019"
717,10094787,2017-09-06,Bombay High Court,"The Central Public Information Officer ... vs The Central Information Commissioner ... on 6 September, 2017"
718,149102051,2021-01-18,Bombay High Court,"Nilesh Navalakha vs Union Of India Thru The Secretary/ Joint ... on 18 January, 2021"
719,9254964,2020-11-11,Karnataka High Court,"Smt Vijayalaxmi Shetty vs Mr Kochu Shetty on 11 November, 2020"
720,125292748,2017-08-03,Allahabad High Court,"Smt.Tanno @ Tarawati vs State Of U.P. on 3 August, 2017"
721,170296239,2017-03-02,Bombay High Court,"Laxman Baburao Wadkar vs State Of Maharashtra And Ors on 2 March, 2017"
722,49074566,2017-03-02,Bombay High Court,"Parvati Vishnu Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
723,184369521,2017-03-02,Bombay High Court,"Dagdu Laxman Pilaware (Decd) By Lrs, ... vs State Of Maharashtra And Ors on 2 March, 2017"
724,193783978,2017-03-02,Bombay High Court,"Maruti Balu Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
725,5150789,2017-03-02,Bombay High Court,"Vithal Laxman Salekar vs State Of Maharashtra And Ors on 2 March, 2017"
726,199260099,2017-03-02,Bombay High Court,"Maruti Bhiwa Pawagi (Decd) By Lrs, Datta ... vs State Of Maharashtra And Ors on 2 March, 2017"
727,141122697,2017-03-02,Bombay High Court,"Dhondiba Dagdu Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
728,60471620,2019-09-05,Madras High Court,"T.K.Saravanan vs The State Of Tamil Nadu on 5 September, 2019"
729,78176375,2016-08-30,Madras High Court,"Rajan @ Susairajan vs The Inspector Of Police on 30 August, 2016"
730,106754701,2023-10-06,Himachal Pradesh High Court,"Pardeep Kumar @ Dimple vs State Of Himachal Pradesh on 6 October, 2023"
731,73583374,2020-12-03,Bombay High Court,"M/S. Nikom Copper And Conductors Pvt. ... vs Union Of India And Ors on 3 December, 2020"
732,54655885,2017-08-03,Patna High Court,"Ishika Raj vs The State Of Bihar & Ors on 3 August, 2017"
733,166829159,2013-12-12,Punjab-Haryana High Court,"Punjab Cricket Association vs State Information Commission on 12 December, 2013"
734,494987,1966-12-23,Delhi High Court,"Rabinder Nath Malik vs Regional Passport Officer, New Delhi ... on 23 December, 1966"
735,1065173,1996-08-08,Andhra HC (Pre-Telangana),"Vasanthi vs Jaya Prakasha Rao And Ors. on 8 August, 1996"
736,109578370,2018-01-05,Income Tax Appellate Tribunal - Mumbai,"Acit <b>21</b>(2), vs Oriental Decorators, Mumbai on 5 January, 2018"
737,159816121,2013-07-04,Delhi High Court,"Dilip K Bandopadhyay vs State & Anr. on 4 July, 2013"
738,193932164,2017-09-20,Allahabad High Court,"Haneef And (2) Others. vs The State Of U.P. on 20 September, 2017"
739,92274575,2002-04-10,Kerala High Court,"M. Gopalan vs State Of Kerala on 10 April, 2002"
740,176052011,2019-07-01,Delhi High Court,"Sh. Sudhir Mishra & Anr. vs State & Ors. on 1 July, 2019"
741,1360835,2007-10-10,Andhra HC (Pre-Telangana),"Dr. S. Krishna Rao vs Ushodaya Publications on 10 October, 2007"
742,115454594,2019-04-15,Madras High Court,"Mrs.R.Annal vs The State Of Tamil Nadu on 15 April, 2019"
743,21100,2010-03-08,Central Information Commission,"Shri Alok Singhai vs High Court Of Delhi on 8 March, 2010"
744,124270312,2012-04-27,Delhi District Court,"(C.B.I. vs . Bangaru Laxman) on 27 April, 2012"
745,190934281,2023-11-09,Supreme Court of India,"Surendra B. Jiwrajka vs Omkara Assets Reconstruction Private ... on 9 November, 2023"
746,13553743,2021-04-28,Supreme Court of India,"Reserve Bank Of India vs Jayantilal N. Mistry on 28 April, 2021"
747,43580703,2019-10-25,Jammu & Kashmir High Court - Srinagar Bench,"Suhail Rashid Bhat vs State Of Jammu & Kashmir And Others on 25 October, 2019"
748,151343617,2025-08-25,Delhi High Court,"University Of Delhi vs Neeraj & Anr on 25 August, 2025"
749,127366010,2024-01-31,Bombay High Court,"Association Of Indian Magazines ... vs Union Of India Thr. Secretary on 31 January, 2024"
750,834541,1997-08-13,Calcutta High Court,"Mrs. Dr. Tapati Sengupta And Ms. Amgana ... vs Enforcement Officer, Enforcement ... on 13 August, 1997"
751,7620547,2024-07-18,Allahabad High Court,"Complainant Of Case Crime 1479/2017 vs State Of U.P. Thru. Prin. Secy. Home ... on 18 July, 2024"
752,88098177,2017-08-22,Allahabad High Court,"Guddoo vs State Of U.P. on 22 August, 2017"
753,105980506,2023-04-26,Delhi High Court,"Mrs X vs Union Of India And Ors on 26 April, 2023"
754,161395710,2023-09-26,Himachal Pradesh High Court,"Cr. A. No. 615/2019 vs Of on 26 September, 2023"
755,147623007,2023-09-26,Himachal Pradesh High Court,"Cr. A. No. 615/2019 vs Of on 26 September, 2023"
756,65841787,2017-03-02,Bombay High Court,"Hausabai Mahadev Ambike vs State Of Maharashtra And Ors on 2 March, 2017"
757,117926633,2017-03-02,Bombay High Court,"Ananda Babu Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
758,135062765,2017-03-02,Bombay High Court,"Dilip Dattatraya Deshpande vs State Of Maharashtra And Ors on 2 March, 2017"
759,122572501,2017-03-02,Bombay High Court,"Dattu Laxman Salekar vs State Of Maharashtra And Ors on 2 March, 2017"
760,119820468,2017-03-02,Bombay High Court,"Pandurang Dhondiba Pawagi And Ors vs State Of Maharashtra And Ors on 2 March, 2017"
761,191134815,2017-03-02,Bombay High Court,"Tanaji Dhondiba Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
762,26512588,2017-03-02,Bombay High Court,"Vithoba Bhiwa Kank (Decd) By Lrs, ... vs State Of Maharashtra And Ors on 2 March, 2017"
763,178323919,2017-03-02,Bombay High Court,"Sonba Laxman Salunke vs State Of Maharashtra And Ors on 2 March, 2017"
764,170498581,2017-03-02,Bombay High Court,"Shripati Kushaba Pawagi And Ors vs State Of Maharashtra And Ors on 2 March, 2017"
765,154279069,2017-03-02,Bombay High Court,"Chandrakant Laxman Salekar vs State Of Maharashtra And Ors on 2 March, 2017"
766,138852431,2017-03-02,Bombay High Court,"Sopan Narayan Salunke (Decd) By Lrs, ... vs State Of Maharashtra And Ors on 2 March, 2017"
767,188660476,2017-03-02,Bombay High Court,"Genba Laxman Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
768,198964826,2017-03-02,Bombay High Court,"Hanumant Rambhau Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
769,179649557,2017-03-02,Bombay High Court,"Nathu Umaji Dighe And Ors vs State Of Maharashtra And Ors on 2 March, 2017"
770,143232180,2017-03-02,Bombay High Court,"Bhagu Alias Bhagirath Sakharam Dighe vs State Of Maharashtra And Ors on 2 March, 2017"
771,86418274,2017-03-02,Bombay High Court,"Bajirao Shankar Shedge vs State Of Maharashtra And Ors on 2 March, 2017"
772,159929852,2017-03-02,Bombay High Court,"Baban Dhondu Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
773,4261902,2017-03-02,Bombay High Court,"Shalan Dashrath More vs State Of Maharashtra And Ors on 2 March, 2017"
774,156216509,2017-03-02,Bombay High Court,"Vishnu Laxman Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
775,137831114,2017-03-02,Bombay High Court,"Ramu Bhiwa Pawagi (Decd) By Lrs, Ganpat ... vs State Of Maharashtra And Ors on 2 March, 2017"
776,37230946,2017-03-02,Bombay High Court,"Shankar Rumaji Pawagi (Decd) By Lrs ... vs State Of Maharashtra And Ors on 2 March, 2017"
777,167185909,2017-03-02,Bombay High Court,"Prakash Dattatraya Deshpande vs State Of Maharashtra And Ors on 2 March, 2017"
778,117582335,2017-03-02,Bombay High Court,"Nandkumar Dattatraya Deshpande vs State Of Maharashtra And Ors on 2 March, 2017"
779,138504365,2017-03-02,Bombay High Court,"Bhiku Ganu Pawagi vs State Of Maharashtra And Ors on 2 March, 2017"
780,35197093,2017-03-02,Bombay High Court,"Shivram Tukaram Pawagi And Ors vs State Of Maharashtra And Ors on 2 March, 2017"
781,59318305,2017-03-02,Bombay High Court,"Dagdu Laxman Pawagi (Decd) By Lrs, ... vs State Of Maharashtra And Ors on 2 March, 2017"
782,568506,1994-12-15,Madras High Court,"The Employees' Federation And Ors. vs Tvs And Sons Ltd. And Anr. on 15 December, 1994"
783,158771650,2024-02-06,Telangana High Court,"Lyadella Sanjeev , Venkatesh And ... vs The State Of Ap., on 6 February, 2024"
784,187206953,2025-03-03,Delhi High Court,"Dhobhi Ghat Jhuggi Adhikar Manch vs Delhi Development Authority And Ors on 3 March, 2025"
785,85653697,2023-10-17,Himachal Pradesh High Court,"Ashish Kumar Alias Chirag vs State Of Himachal Pradesh on 17 October, 2023"
786,51306147,2020-12-22,Patna High Court,"Sumit Kumar vs The State Of Bihar, Through The Director ... on 22 December, 2020"
787,128894577,2020-09-08,Karnataka High Court,"Nagesh vs The State Of Karnataka on 8 September, 2020"
788,96247843,2022-02-04,Allahabad High Court,"Awadhesh Kumar vs State Of U.P. And 2 Others on 4 February, 2022"
789,174760514,2016-09-01,Madras High Court,"M.Sheik Sikandar Batcha vs The Secretary on 1 September, 2016"
790,11650242,2021-04-06,Calcutta High Court (Appellete Side),"Ganesh Das vs Unknown on 6 April, 2021"
791,99935419,2024-09-25,Himachal Pradesh High Court,"State Of Himachal Pradesh vs Devinder Kumar And Another on 25 September, 2024"
792,6082877,2024-12-16,Karnataka High Court,"Mugil Anbu Vasantha vs State Of Karnataka on 16 December, 2024"
793,92525844,2025-02-04,Madras High Court,"T.R.Balu vs R.Kannan on 4 February, 2025"
794,157661402,2024-09-10,Himachal Pradesh High Court,"Baldev Singh @ Pawan vs State Of Himachal Pradesh on 10 September, 2024"
795,17477202,2023-09-22,Himachal Pradesh High Court,"Sandeep Kumar @ Sanju vs Of on 22 September, 2023"
796,105945914,2022-10-18,Delhi High Court,"Bagender Manjhi vs State on 18 October, 2022"
797,119502026,2021-08-05,Madras High Court,"R.Sankarram vs K.Kalaiselvi on 5 August, 2021"
798,17720494,2021-08-05,Madras High Court,"R.Sankarram vs K.Kalaiselvi on 5 August, 2021"
799,38776436,2024-09-24,Gauhati High Court,"FAO/31/2024 on 24 September, 2024"
800,162646874,2024-07-22,Delhi High Court,"Rakesh Jagdish Kalra @ Rakesh Kalra vs The India Today Group & Ors. on 22 July, 2024"
801,97881509,2025-02-04,Madras High Court,"M.Saravana Kumar vs The State Of Tamil Nadu on 4 February, 2025"
802,111601080,2025-09-22,Gauhati High Court,"Page No.# 1/15 vs The State Of Assam And Anr on 22 September, 2025"
803,100525952,2025-03-04,Delhi High Court,"Central Bureau Of Investigation vs Neeraj Kumar on 4 March, 2025"
804,169172115,2025-03-03,Orissa High Court,"X vs State Of Odisha And Ors. .... Opposite ... on 3 March, 2025"
805,167881092,2024-04-10,Karnataka High Court,"Sri Xxxxx vs The Registrar General on 10 April, 2024"
806,81084437,2023-10-17,Supreme Court - Daily Orders,"Supriyo @ Supriya Chakraborty vs Union Of India on 17 October, 2023"
807,72717738,2023-11-30,Himachal Pradesh High Court,"Vinod Kumar vs State Of Himachal Pradesh on 30 November, 2023"
808,98984679,2023-10-17,Calcutta High Court (Appellete Side),"Rujira Banerjee vs Union Of India & Ors on 17 October, 2023"
809,17984893,2024-02-28,Karnataka High Court,"Mr. Xxxx vs The Registrar General on 28 February, 2024"
810,173421989,2023-04-17,Allahabad High Court,"Aman Shah vs State Thru. Cbi/Ac-1, New Delhi on 17 April, 2023"
811,12527692,2022-07-19,Kerala High Court,"Xxxxxx vs The Registrar Of Births And Deaths ... on 19 July, 2022"
812,105939091,2019-03-07,Rajasthan High Court - Jaipur,"Dharma Rani vs State And Ors on 7 March, 2019"
813,167733176,2017-08-03,Patna High Court,"Naaj Prawin vs The State Of Bihar & Ors on 3 August, 2017"
814,193291363,2017-02-17,Madras High Court,"M.Kannan vs State Rep By The Inspector Of Police on 17 February, 2017"
815,53895524,2017-08-03,Patna High Court,"Gyatri Kumari vs The State Of Bihar & Ors on 3 August, 2017"
816,2540947,2019-03-07,Rajasthan High Court - Jaipur,"M C Sharma vs State And Ors on 7 March, 2019"
817,180990474,2025-06-17,Kerala High Court,"P.Ravichandran vs The Excise Inspector on 17 June, 2025"
818,167569911,2024-02-06,Orissa High Court,"Prasanta Kumar Das vs State Of Odisha And Others ..... Opp. ... on 6 February, 2024"
819,194162053,2025-09-16,Gauhati High Court,"Ram Lochan Choudhury vs The State Of Assam And Anr on 16 September, 2025"
820,100070399,2023-10-13,Gauhati High Court,"Sudip Biswas @ Bura vs The State Of Assam And Anr on 13 October, 2023"
821,161956116,2023-11-08,Jharkhand High Court,"Nishant Singh @ Kumar Nishant vs The State Of Jharkhand on 8 November, 2023"
822,46023018,2023-09-08,Jharkhand High Court,"Nishi Pandey @ Nishee Pandey vs The State Of Jharkhand on 8 September, 2023"
823,36921947,2020-12-02,Patna High Court,"Ajay Kumar Singh vs Director General Of Investigat on 2 December, 2020"
824,545031,2008-04-17,Madras High Court,"R.Anbazhagan vs The State Information on 17 April, 2008"
825,1479995,2005-01-17,Rajasthan High Court - Jaipur,"Ram Niwas vs State Of Rajasthan And Anr. on 17 January, 2005"
826,183587764,2024-08-16,Delhi High Court,"Mrs C vs The Principal Secretary Health And ... on 16 August, 2024"
827,5093920,2024-11-23,Karnataka High Court,"Mrs. Shumita Deb vs Mr. Gautam Bhattacharya on 23 November, 2024"
828,72254511,2024-02-29,Punjab-Haryana High Court,"Kashik Mann vs Uttar Haryana Bijli Vitran Nigam ... on 29 February, 2024"
829,193228479,2021-01-15,Bombay High Court,"Anjuman Tarakki E Talim Khardas Anglo ... vs The State Of Maharashtra And Others on 15 January, 2021"
830,118905559,2018-06-19,Bombay High Court,"Neelam Choudhary vs Union Of India And Ors on 19 June, 2018"
831,176318663,2019-03-15,Madras High Court,"A. Venkatesan vs The State Information Commissioner on 15 March, 2019"
832,183480409,2023-12-11,Himachal Pradesh High Court,"Rakesh Kumar vs Of on 11 December, 2023"
833,39363425,2023-08-08,Jammu & Kashmir High Court,"Ashok Mishra vs State Of J&K And Ors on 8 August, 2023"
834,102131224,2023-05-26,Rajasthan High Court - Jodhpur,"Shri Om Prakash Lakhyani Trustee vs Union Of India on 26 May, 2023"
835,199289636,2023-06-23,Madras High Court,"Muthukrishnan vs The District Collector on 23 June, 2023"
836,12194645,2023-04-25,Orissa High Court,"Ntpc Ltd vs State Of Odisha And Others ..... Opp. ... on 25 April, 2023"
837,64149765,2023-06-23,Madras High Court,"Muthukrishnan vs The District Collector on 23 June, 2023"
838,161447793,2022-09-20,Delhi High Court - Orders,"K vs The Principal Secretary Health And ... on 20 September, 2022"
839,143144972,2021-10-05,Telangana High Court,"Xxxx vs Union Of India And 3 Others on 5 October, 2021"
840,92260548,2019-10-17,Rajasthan High Court - Jodhpur,"S - Name Withheld vs State Of Rajasthan on 17 October, 2019"
841,145996058,2022-08-10,Central Information Commission,"Rudrapriyo Ray (Axis Bank) vs Reserve Bank Of India on 10 August, 2022"
842,154824274,2022-05-25,Central Information Commission,"Ankit Baweja (Authorized Signatory Rbl ... vs Reserve Bank Of India on 25 May, 2022"
843,107881747,2016-03-16,Lok Sabha Debates,"Motion To Consider Amendments Made By Rajya Sabha To The Aadhaar (Targeted ... on 16 March, 2016"
844,102042764,2023-07-13,Central Information Commission,"Girish Mittal vs Reserve Bank Of India on 13 July, 2023"
845,52025104,2023-07-13,Central Information Commission,"Girish Mittal vs Reserve Bank Of India on 13 July, 2023"
846,199310500,2023-07-13,Central Information Commission,"Girish Mittal vs Reserve Bank Of India on 13 July, 2023"
847,4053857,2023-07-13,Central Information Commission,"Girish Mittal vs Reserve Bank Of India on 13 July, 2023"
848,3523784,2022-06-30,Central Information Commission,"Chetan Prakash vs Reserve Bank Of India on 30 June, 2022"
849,50417885,2022-06-30,Central Information Commission,"Ajai Bamnehwal vs Reserve Bank Of India on 30 June, 2022"
850,52707919,1800-01-01,Law Commission Report,"Speech Of Hon’Ble Chairperson, 22Nd Law Commission Of India, On The Occasion Of ..."
851,73401174,2025-06-10,Central Administrative Tribunal - Ahmedabad,"Hariom Meena vs Central Excise And Customs on 10 June, 2025"
852,24470522,2025-06-10,Central Administrative Tribunal - Ahmedabad,"Sumit Kumar Chatiwal vs Central Excise And Customs on 10 June, 2025"
853,4563909,2022-06-21,Central Information Commission,"Priti Ranjan Dash vs Reserve Bank Of India on <b>21</b> June, 2022"
854,164556515,2010-08-17,Delhi District Court,"State vs . 1. Umesh Singh on 17 August, 2010"
855,2931454,2013-04-16,Delhi District Court,"Sh. Bhagwant Singh vs Sh. Vikas Chadha on 16 April, 2013"
856,18303067,2018-03-08,Supreme Court of India,"Shafin Jahan vs Asokan K.M. on 8 March, 2018"
857,338008,2010-05-05,Supreme Court of India,"Selvi & Ors vs State Of Karnataka & Anr on 5 May, 2010"
858,184449972,2018-03-09,Supreme Court of India,"Common Cause (A Regd. Society) vs Union Of India on 9 March, 2018"
859,404603,2005-02-02,Supreme Court of India,"Zee Telefilms Ltd. & Anr vs Union Of India & Ors on 2 February, 2005"
860,619152,1962-12-18,Supreme Court of India,"Kharak Singh vs The State Of U. P. & Others on 18 December, 1962"
861,191721813,2018-05-11,Income Tax Appellate Tribunal - Bangalore,"Google India Private Limited, ... vs The Deputy Commissioner Of Income Tax ... on 11 May, 2018"
862,1500783,2009-08-28,Supreme Court of India,"Suchita Srivastava & Anr vs Chandigarh Administration on 28 August, 2009"
863,1455798,2003-05-09,Supreme Court of India,"Kapila Hingorani vs State Of Bihar on 9 May, 2003"
864,111146637,2010-08-13,Calcutta High Court (Appellete Side),"Kalpana Pal vs State Of West Bengal & Ors on 13 August, 2010"
865,168661224,2017-01-16,Supreme Court of India,"Meera Santosh Pal And Ors vs Union Of India And Ors on 16 January, 2017"
866,24661153,2012-08-03,Supreme Court of India,"Dr.Mehmood Nayyar Azam vs State Of Chattisgarh And Ors on 3 August, 2012"
867,1266863,1996-04-12,Punjab-Haryana High Court,"Waryam Singh vs State Of Punjab on 12 April, 1996"
868,1232445,2011-07-04,Supreme Court of India,"Ram Jethmalani & Ors vs Union Of India & Ors on 4 July, 2011"
869,235821,2011-03-07,Supreme Court of India,"Aruna Ramchandra Shanbaug vs Union Of India & Ors on 7 March, 2011"
870,469514,2009-08-28,Supreme Court of India,"Bhupinder Kumar vs Angrej Singh on 28 August, 2009"
871,158887669,2012-09-11,Supreme Court of India,"Sahara India Real Estate Corp.Ltd.& Ors vs Securities & Exch.Board Of India & Anr on 11 September, 2012"
872,159399368,2018-09-26,Madras High Court,"Sabari @ Sabarigiri vs The Assistant Commissioner Of Police on 26 September, 2018"
873,172163761,2017-08-17,Supreme Court of India,"Indu Devi vs The State Of Bihar And Ors. Social ... on 17 August, 2017"
874,33697435,2023-03-27,Supreme Court - Daily Orders,"Enforcement Directorate Government Of ... vs Kapil Wadhawan on 27 March, 2023"
875,180003135,2023-09-04,Himachal Pradesh High Court,"Ajay Kumar & Anr vs State Of H.P on 4 September, 2023"
876,13183859,2018-01-09,Bombay High Court,"Shaikh Ayesha Khatoon vs Union Of India Through The Secretary And ... on 9 January, 2018"
877,62123684,2023-02-20,Supreme Court of India,"Aparna Ajinkya Firodia vs Ajinkya Arun Firodia on 20 February, 2023"
878,50702186,2020-04-29,Supreme Court of India,"Christian Medical College Vellore vs Union Of India on 29 April, 2020"
879,50950553,2021-02-08,Supreme Court of India,"Laxmibai Chandaragi B vs The State Of Karnataka on 8 February, 2021"
880,1983093,2001-11-12,Andhra HC (Pre-Telangana),"Ganesh Traders vs District Collector, Karimnagar And ... on 12 November, 2001"
881,1579089,2005-12-13,Allahabad High Court,"Chandra Bhan And Parashu Ram, Both Sons ... vs Deputy Director Of Consolidation And ... on 13 December, 2005"
882,109874394,2010-07-01,Delhi High Court,"The Gramophone Company Of India Ltd. vs Super Cassette Industries Ltd. on 1 July, 2010"
883,142337484,2018-10-26,Allahabad High Court,"Sumpurnanand vs State Of U.P. And 2 Others on 26 October, 2018"
884,172205302,2015-05-29,Delhi High Court,"Rohit Bansal vs State on 29 May, 2015"
885,1580564,2004-07-28,Madras High Court,"Bommi And Minor Sonia Minor Rep. By ... vs Munirathinam on 28 July, 2004"
886,23436105,2021-07-08,Supreme Court of India,"Ajit Mohan vs Legislative Assembly, National ... on 8 July, 2021"
887,86193774,2019-12-02,Allahabad High Court,"Anant Narayan Mishra vs The Union Of India And 4 Others on 2 December, 2019"
888,358048,2003-01-01,Delhi High Court,"Icc Development (International) Ltd. vs Arvee Enterprises And Anr. on 1 January, 2003"
889,139245892,2021-12-06,Supreme Court of India,"Akshay N. Patel vs Reserve Bank Of India on 6 December, 2021"
890,128664432,2022-12-13,Himachal Pradesh High Court,"Subhash Chand @ Bhashu vs State Of H.P on 13 December, 2022"
891,1051375,1970-10-26,Rajasthan High Court - Jaipur,"Mahipal Maderna And Anr. vs State Of Rajasthan on 26 October, 1970"
892,2502876,2019-10-01,Chattisgarh High Court,"Ms. A vs State Of Chhattisgarh 13 Wpl/210/2019 ... on 1 October, 2019"
893,183342621,2019-12-04,Chattisgarh High Court,"Minor X vs State Of Chhattisgarh 14 Wpc/4308/2019 ... on 4 December, 2019"
894,27890074,2017-10-13,Bombay High Court,"X (Since Minor Through Her Father) vs The State Of Maharashtra And Another on 13 October, 2017"
895,1911212,1996-01-08,Madhya Pradesh High Court,"Shyambabu Verma vs State Of M.P. And Ors. on 8 January, 1996"
896,1013702,1997-07-02,Rajasthan High Court - Jaipur,"Smt. Saroj Chotiya vs State Of Rajasthan And Ors. on 2 July, 1997"
897,63476467,2022-04-08,Supreme Court of India,"Noel Harper vs Union Of India on 8 April, 2022"
898,115716872,2023-08-24,Supreme Court of India,"Mukesh Singh vs The State (Nct Of Delhi) on 24 August, 2023"
899,167578911,2019-12-02,Allahabad High Court,"Shahbaz Ali Khan vs Union Of India And 3 Others on 2 December, 2019"
900,169225481,2019-12-02,Allahabad High Court,"Satyam Rai vs Banaras Hindu University And 5 Others on 2 December, 2019"
901,42470800,2015-03-18,Himachal Pradesh High Court,"State Of Himachal Pradesh vs Varun Kumar And Another on 18 March, 2015"
902,1600915,1983-01-21,Bombay High Court,"Mumbai Grahak Panchayat vs State Of Maharashtra on <b>21</b> January, 1983"
903,970136,1988-03-16,Delhi High Court,"Director, Central Bureu Investication vs Ram Jethmalani on 16 March, 1988"
904,129180924,2014-05-14,Orissa High Court,"Aruna Kumar Swain And Another vs State Of Orissa And Others .... Opposite ... on 14 May, 2014"
905,78695684,2010-04-15,Patna High Court - Orders,"Pawan Kumar Purbey vs The State Of Bihar & Ors on 15 April, 2010"
906,103726469,2010-04-15,Patna High Court - Orders,"Pawan Kumar Purbey & Anr vs The State Of Bihar & Ors on 15 April, 2010"
907,18233028,2010-04-15,Patna High Court - Orders,"Ruby Singh vs The State Of Bihar & Ors on 15 April, 2010"
908,1296325,1991-03-18,Patna High Court,"Anjani Kumar Sinha And Anr. vs State Of Bihar And Ors. on 18 March, 1991"
909,139049000,2020-01-09,Delhi High Court,"Khem Chand Mukim vs Pr. Director Of Income Tax, (Inv.)-2, ... on 9 January, 2020"
910,163663432,2012-04-17,Delhi High Court,"X Minor Thr. Father Natural Guardian vs State & Ors. on 17 April, 2012"
911,105466365,2020-02-20,Allahabad High Court,"Hemlata And 2 Ors vs State Of U.P. And Another on 20 February, 2020"
912,170287517,2015-08-06,Delhi High Court,"Inspector (Mahila) Ravina vs Uoi And Ors. on 6 August, 2015"
913,22416870,2019-03-07,Bombay High Court,"Abc Minor Through Her Natural Guardian ... vs The State Of Maharashtra And Another on 7 March, 2019"
914,4044462,2017-12-07,Uttarakhand High Court,"State Of Uttarakhand vs Sartaj Khan on 7 December, 2017"
915,158597695,2013-04-17,Madras High Court,"The Registrar General vs K.U.Rajasekar on 17 April, 2013"
916,108025237,2009-11-05,Delhi High Court,"Narayani Gautam & Ors. vs State on 5 November, 2009"
917,69871811,2019-03-15,Gauhati High Court,"Atfur Rahman vs The State Of Assam And 3 Ors on 15 March, 2019"
918,158382831,2016-09-01,Delhi High Court,"Ebiz.Com Pvt. Ltd. vs Union Of India & Ors. on 1 September, 2016"
919,8362069,2020-08-20,Kerala High Court,"Halvi.K.S vs The State Of Kerala on 20 August, 2020"
920,170781909,2012-04-27,Delhi High Court,"Rohit Shekhar vs Narayan Dutt Tiwari & Anr on 27 April, 2012"
921,13287568,2015-09-17,Delhi High Court,"Bharat Rattan Shah vs State & Anr on 17 September, 2015"
922,480560,1938-09-27,Allahabad High Court,"The Holy Scriptures Of The Sanatan ... vs Mahraja Bahadur Of Gidhaur. At Para on 27 September, 1938"
923,78049057,2013-12-13,Gujarat High Court,"Mahila Utkarsh Trust Thro Its President vs Union Of India Thro Secretary on 13 December, 2013"
924,68042240,2007-11-24,Madras High Court,"M/S.Agi Music Sdn Bhd vs Ilaiyaraja on 24 November, 2007"
925,157891019,2018-07-04,Uttarakhand High Court,"Narayan Dutt Bhatt vs Union Of India And Others on 4 July, 2018"
926,68914216,2019-05-31,Punjab-Haryana High Court,"Karnail Singh & Ors vs State Of Haryana on 31 May, 2019"
927,104137790,2019-12-02,Allahabad High Court,"Mohammad Ghayas vs State Of U.P. And 3 Others on 2 December, 2019"
928,977280,1800-01-01,Bombay High Court,"Narayanilal Bansilal vs Maneck Phiroze Mistry And Anr. on 1 January, 1800"
929,427649,2000-01-12,Allahabad High Court,"Peoples' Union For Civil Liberties, ... vs State Of U.P. And Others on 12 January, 2000"
930,172577598,2022-12-06,Delhi High Court,"Mrs. Pooja Kumari vs Gnctd & Anr. on 6 December, 2022"
931,49025742,2020-10-19,Telangana High Court,"M/S. Super Cassettes Industries ... vs Nandi Chinni Kumar And 12 Others on 19 October, 2020"
